Row	Type	Prefix	Name	Label	Domain	Dispostion	Yes/No	DispComment	Definitions	Editor Note	Example	Status	Human Friendly Name	Name of editor	Alternative Name	Citation
165	C	obo:	ERO_0000777	US Citizen Role	NA	N	no	Not in domain	"A US resident role that inheres in an individual that is a legally recognized as a member of a state, with associated rights and obligations."			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Nicole Vasilevsky		http://en.wiktionary.org/wiki/citizen
166	C	obo:	ERO_0000778	Non-US Citizen	NA	N	no	Not in domain	A US resident role that inheres in an individual who is not a legally recognized subject or national of the United States.			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Nicole Vasilevsky		"https://www.google.com/search?q=residency+status&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a#hl=en&client=firefox-a&hs=Bcx&rls=org.mozilla:en-US:official&q=citizen&tbs=dfn:1&tbo=u&sa=X&ei=micXT_DwMIjUiAK15tDUDw&ved=0CCgQkQ4&bav=on.2,or.r_gc.r_pw.,cf.osb&fp=7b67128a22f602af&biw=1609&bih=794"
167	C	obo:	ERO_0000779	Permanent Resident Role	NA	N	no	Not in domain	An role that inheres in an individual who is not a citizen but who legally resides in another nation on a permanent or extended basis.			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Nicole Vasilevsky		http://connection.ebscohost.com/us/immigration-restrictions/overview-legal-and-illegal-immigration
168	C	obo:	ERO_0000780	Non-Permanent Resident Role	NA	N	no	Not in domain	"A non-US citizen role that inheres in an individual who is residing in a country, but is neither a citizen nor a permanent resident. "			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Nicole Vasilevsky		http://www.irs.gov/taxtopics/tc851.html
169	C	obo:	ERO_0000783	Student Role	VIVO	R	yes	Not in ERO domain	"A role inhering in a person that is realized when the bearer participates a course of study, as in a school, college, university, etc."		A college student.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://www.thefreedictionary.com/student
170	C	obo:	ERO_0000784	Undergraduate Student Role	VIVO	R	yes	Not in ERO domain	"A student role inhering in a person that is realized when the bearer participates in a course of study at a college, university, etc. in pursuit of an associate or bachelor degree."		A college student.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://www.thefreedictionary.com/student
171	C	obo:	ERO_0000785	Graduate Student Role	VIVO	R	yes	Not in ERO domain	A student role inhering in a person that is realized when the bearer participates a course of study at a university or institution in pursuit of an graduate or professional degree.		A PhD student at a university.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://www.thefreedictionary.com/student
172	C	obo:	ERO_0000786	High School Student Role	VIVO	R	yes	Not in ERO domain	A student role inhering in a person that is realized when the bearer participates in a course of study at a secondary learning institution.		A freshman in high school.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://www.thefreedictionary.com/student
173	C	obo:	ERO_0000787	Employee Role	VIVO	R	yes	Not in ERO domain	A role inhering in a person that is realized when the bearer participates in an occupation by which a person earns a living or spends their time.		An employee at a university.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://dictionary.reference.com/browse/employment
174	C	obo:	ERO_0000788	Faculty Role	VIVO	R	yes	Not in ERO domain	"An employee role inhering in a person that is realized when the bearer participates in the teaching and/or administrative force of a university, college, or school."		A professor at a university.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://dictionary.reference.com/browse/faculty
175	C	obo:	ERO_0000789	Staff Role	VIVO	R	yes	Not in ERO domain	An employee role inhering in a person that is realized when the bearer is employed by an employer.		A research technician in a lab.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
176	C	obo:	ERO_0000790	Post-Baccalaureate Trainee	VIVO	R	yes	Not in ERO domain	A student role inhering in a person that is realized when the bearer participates in a post-baccalaureate training program in pursuit of an additional bachelor degree or new or additional training in a particular field.			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
177	C	obo:	ERO_0000914	Post-Graduate Student Trainee Role	VIVO	R	yes	Not in ERO domain	"A student role inhering in a person that is realized when the bearer participates in a post-graduate training program in pursuit of new or additional training in a particular field, such as a post-doctoral fellowship."		A post-doctoral fellow.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
178	C	obo:	ERO_0001245	Licensing	VIVO	R	yes	Licensing Process	"A technique that authorizes a use (such as copying software or using a (patented) invention) to a licensee, sparing the licensee from a claim of infringement brought by the licensor."		Licensing of a new technology.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://en.wikipedia.org/wiki/License
179	C	obo:	ERO_0001254	Transport Service	NA	N	no	Not in domain	A service offering that describes a service in which the provider facilitates the transport of some material entity to a specified destination for the service consumer.		Transport of a patient within a hospital.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
180	C	obo:	ERO_0001255	Support Service	NA	N	no	Not in domain	A service offering that describes a service in which the provider assists the consumer in activities directly or indirectly associated with the production and analysis or experimental research data.		Technical support.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
181	C	obo:	ERO_0001256	Material Storage Service	NA	N	no	Not in domain	A storage service offering that describes a service in which the consumer provides some material as input which a service provider stores and returns as output		Cryopreservation service.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
182	C	obo:	ERO_0001257	Data Storage Service	NA	N	no	Not in domain	"A storage service offering that describes a service in which the consumer provides data as input, which a service provider stores and returns as output in its original form."		Storing data on a server.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
183	C	obo:	ERO_0001258	Maintenance Service	NA	N	no	Not in domain	A service offering that describes a service in which the provider actively maintains a material or data resource (e.g. a model organism colony or database) for the service consumer.  This may involved making physical alterations to the material or data with the goal of maintaining its integrity or features.			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Matt Brush		PERSON: Matthew Brush
184	C	obo:	ERO_0001259	Material Maintenance Service	NA	N	no	Not in domain	A maintenance service offering that describes a service in which the provider actively maintains a material resource (e.g. a model organism colony) for the service consumer.  A material maintenance service may or may not include storage of the material input.		Maintaining an animal coloy.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
185	C	obo:	ERO_0001260	Data Maintenance Service	NA	N	no	Not in domain	"A maintenance service offering that describes a service in which the provider actively manages or maintains data or a database for the service consumer.  Maintenance of the data is performed to maintain its integrity or enhance its quality or utility for the consumer, but new data is not generated as a result of the maintenance."		Maintaining a database.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
186	C	obo:	ERO_0001261	Analysis Service	NA	N	no	Not in domain	A service offering that describes a service in which the consumer provides some input material or data and a service provider returns data about the input material or data.		Flow cytometry analysis service.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
187	C	obo:	ERO_0001262	Data Analysis Service	NA	N	no	Not in domain	"An analysis service offering that describes a service in which the consumer provides some input data and a service provider transforms, models, or interprets the input data and returns this generated data as output"		Sequence data analysis.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush	data processing service|data transformation service	PERSON: Matthew Brush
188	C	obo:	ERO_0001263	Material Modification Service	NA	N	no	Not in domain	"A material processing service offering that describes a service in which the provider makes physical modifications to a specified input material, such that at least one of the specified outputs of this process is a modified version of a specified input material."		Histology service.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
189	C	obo:	ERO_0001716	Database	VIVO	R	yes	Not in IAO?	"A database is an organized collection of data, today typically in digital form."			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Carlo Torniai		http://en.wikipedia.org/wiki/Database
190	C	obo:	IAO_0000003	Measurement Unit Label	NA	N	no	Not in domain	A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.	"2009-03-16: review of this term done during during the OBI workshop winter 2009 and the current definition was considered acceptable for use in OBI. If there is a need to modify this definition please notify OBI.|2009-03-16: provenance: a term measurement unit was\nproposed for OBI (OBI_0000176) , edited by Chris Stoeckert and\nCristian Cocos, and subsequently moved to IAO where the objective for\nwhich the original term was defined was satisfied with the definition\nof this, different, term."	"Examples of measurement unit labels are liters, inches, weight per volume."	http://purl.obolibrary.org/obo/IAO_0000125	measurement unit label	PERSON: Alan Ruttenberg|PERSON: Melanie Courtot		
191	C	obo:	IAO_0000005	Objective Specification	IAO	K	yes		a directive information entity that describes an intended process endpoint. When part of a plan specification the concretization is realized in a planned process in which the bearer tries to effect the world so that the process endpoint is achieved.	"Answers the question, why did you do this experiment?"	"purpose of a study; support of hypothesis, discovery of new information"	http://purl.obolibrary.org/obo/IAO_0000125	objective specification	PERSON: Bjoern Peters|PERSON: Jennifer Fostel|PERSON: Barry Smith|PERSON: Alan Ruttenberg		OBI Plan and Planned Process/Roles Branch|OBI_0000217
192	C	obo:	IAO_0000007	Action Specification	IAO	K	yes		a directive information entity that describes an action the bearer will take		Pour the contents of flask 1 into flask 2	http://purl.obolibrary.org/obo/IAO_0000123		Alan Ruttenberg		OBI Plan and Planned Process branch
193	C	obo:	IAO_0000009	Datum Label	IAO	K	yes		A label is a symbol that is part of some other datum and is used to either partially define  the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label	http://www.golovchenko.org/cgi-bin/wnsearch?q=label#4n		http://purl.obolibrary.org/obo/IAO_0000123	datum label	GROUP: IAO		
194	C	obo:	IAO_0000013	Journal Article	IAO	K	yes		a report that is published in a journal		"Examples are articles published in the journals, Nature and Science. The content can often be cited by reference to a paper based encoding, e.g.  Authors, Title of article, Journal name, date or year of publication, volume and page number."	http://purl.obolibrary.org/obo/IAO_0000120	journal article	person:Chris Stoeckert|person:Alan Ruttenberg		OBI_0000159|group:OBI
195	C	obo:	IAO_0000027	Data Item	IAO	K	yes		"a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."	"2009-03-16: removed datum as alternative term as datum specifically refers to singular form, and is thus not an exact synonym.|2009-03-16: data item deliberatly ambiguous: we merged data set and datum to be one entity, not knowing how to define singular versus plural. So data item is more general than datum.|2/2/2009 Alan and Bjoern discussing FACS run output data. This is a data item because it is about the cell population. Each element records an event and is typically further composed a set of measurment data items that record the fluorescent intensity stimulated by one of the lasers.|JAR: datum     -- well, this will be very tricky to define, but maybe some \ninformation-like stuff that might be put into a computer and that is \nmeant, by someone, to denote and/or to be interpreted by some \nprocess... I would include lists, tables, sentences... I think I might \ndefer to Barry, or to Brian Cantwell Smith\n\nJAR: A data item is an approximately justified approximately true approximate belief"	"Data items include counts of things, analyte concentrations, and statistical summaries."	http://purl.obolibrary.org/obo/IAO_0000125	data item	PERSON: Jonathan Rees|PERSON: Chris Stoeckert|PERSON: Alan Ruttenberg	data	
196	C	obo:	IAO_0000030	Information Content Entity	IAO	K	yes		The most general classification of an information resource|an information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity	information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).\n\nPrevious. An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity.	"Examples of information content entites include journal articles, data, graphical layouts, and graphs."	http://purl.obolibrary.org/obo/IAO_0000125	information content entity	PERSON: Chris Stoeckert		OBI_0000142
197	C	obo:	IAO_0000032	Scalar Measurement Datum	NA	N	no	Not in domain	"a scalar measurement datum is a measurement datum that is composed of two parts, numerals and a unit label."	"Would write this as: has_part some 'measurement unit label' and has_part some numeral and has_part exactly 2, except for the fact that this won't let us take advantage of OWL reasoning over the numbers. Instead use has measurment value property to represent the same. Use has measurement unit label (subproperty of has_part) so we can easily say that there is only one of them.|2009-03-16: we decided to keep datum singular in scalar measurement datum, as in\nthis case we explicitly refer to the singular form"	10 feet. 3 ml.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Melanie Courtot|PERSON: Alan Ruttenberg		
198	C	obo:	IAO_0000033	Directive Information Entity	IAO	K	yes		An information content entity whose concretizations indicate to their bearer how to realize them in a process.	"Werner pushed back on calling it realizable information entity as it isn't realizable. However this name isn't right either. An example would be a recipe. The realizable entity would be a plan, but the information entity isn't about the plan, it, once concretized, *is* the plan. -Alan|8/6/2009 Alan Ruttenberg: Changed label from \information entity about a realizable\"" after discussions at ICBO"""		http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Bjoern Peters|PERSON: Alan Ruttenberg		
199	C	obo:	IAO_0000102	Data about an Ontology Part	NA	N	no	Not in domain	"data about an ontology part is a data item about a part of an ontology, for example a term"					Person:Alan Ruttenberg		
200	C	obo:	IAO_0000104	Plan Specification	IAO	K	yes		"a directive information entity that when concretized it is realized in a process in which the bearer tries to achieve the objectives, in part by taking the actions specified. Plan specifications includes parts such as objective specification, action specifications and conditional specifications."	"2009-03-16: provenance: a term a plan was proposed for OBI (OBI_0000344) , edited by the PlanAndPlannedProcess branch. Original definition was \ a plan is a specification of a process that is realized by an actor to achieve the objective specified as part of the plan\"". It has been subsequently moved to IAO where the objective for which the original term was defined was satisfied with the definitionof this, different, term.|Alternative previous definition: a plan is a set of instructions that specify how an objective should be achieved"""	PMID: 18323827.Nat Med. 2008 Mar;14(3):226.New plan proposed to help resolve conflicting medical advice.	http://purl.obolibrary.org/obo/IAO_0000120	plan specification	Alan Ruttenberg		OBI_0000344|OBI Plan and Planned Process branch
201	C	obo:	IAO_0000109	Measurement Datum	NA	N	no	Not in domain	A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device.	2/2/2009 is_specified_output of some assay?	"Examples of measurement data are the recoding of the weight of a mouse as {40,mass,\grams\""}, the recording of an observation of the behavior of the mouse {,process,\""agitated\""}, the recording of the expression level of a gene as measured through the process of microarray experiment {3.4,luminosity,}."""	http://purl.obolibrary.org/obo/IAO_0000120	measurement datum	person:Chris Stoeckert		OBI_0000305|group:OBI
202	C	obo:	IAO_0000144	Conclusion Textual Entity	IAO	K	yes		"A textual entity that expresses the results of reasoning about a problem, for instance as typically found towards the end of scientific papers."	2009/09/28 Alan Ruttenberg. Fucoidan-use-case|2009/10/23 Alan Ruttenberg: We need to work on the definition still	"that fucoidan has a small statistically significant effect on AT3 level but no useful clinical effect as in-vivo anticoagulant, a paraphrase of part of the last paragraph of the discussion section of the paper 'Pilot clinical study to evaluate the anticoagulant activity of fucoidan', by Lowenthal et. al.PMID:19696660"	http://purl.obolibrary.org/obo/IAO_0000120	conclusion textual entity	Person:Alan Ruttenberg		
203	C	obo:	IAO_0000300	Textual Entity	IAO	K	yes		"A textual entity is a part of a manifestation (FRBR sense), a generically dependent continuant whose concretizations are patterns of glyphs intended to be interpreted as words, formulas, etc."	"AR, (IAO call 2009-09-01): a document as a whole is not typically a textual entity, because it has pictures in it - rather there are parts of it that are textual entities. Examples: The title, paragraph 2 sentence 7, etc.|MC, 2009-09-14 (following IAO call 2009-09-01): textual entities live at the FRBR (http://en.wikipedia.org/wiki/Functional_Requirements_for_Bibliographic_Records) manifestation level. Everything is significant: line break, pdf and html versions of same document are different textual entities."	"Words, sentences, paragraphs, and the written (non-figure) parts of publications are all textual entities"		textual entity	PERSON: Lawrence Hunter	text	
204	C	obo:	OBI_0000011	Planned Process	IAO	K	yes		A processual entity that realizes a plan which is the concretization of a plan specification.	"'Plan' includes a future direction sense. That can be problematic if plans are changed during their execution. There are however implicit contingencies for protocols that an agent has in his mind that can be considered part of the plan, even if the agent didn't have them in mind before. Therefore, a planned process can diverge from what the agent would have said the plan was before executing it, by adjusting to problems encountered during execution (e.g. choosing another reagent with equivalent properties, if the originally planned one has run out.)"	Injecting mice with a vaccine in order to test its efficacy	http://purl.obolibrary.org/obo/IAO_0000122	planned process|planned process	Bjoern Peters		branch derived
205	C	obo:	OBI_0000017	Regulatory Role	OBI	K	yes	Study this definition.  VIVO has many like this.	"a role which inheres in material entities and is realized in the processes of making, enforcing or being defined by legislation or orders issued by a governmental body."		"Regulatory agency, Ethics committee, Approval letter; example:  Browse these EPA Regulatory Role subtopics  http://www.epa.gov/ebtpages/enviregulatoryrole.html  Feb 29, 2008"	http://purl.obolibrary.org/obo/IAO_0000120	regulatory role	GROUP:  Role branch		"OBI, CDISC"
206	C	obo:	OBI_0000066	(investigation)	OBI	K	yes									
207	C	obo:	OBI_0000086	(reagent role)	NA	N	no	Not in domain								
208	C	obo:	OBI_0000094	(material processing)	NA	N	no	Not in domain								
209	C	obo:	OBI_0000272	Protocol	OBI	K	yes		"a protocol is a plan specification which has sufficient level of detail and quantitative information to communicate it between domain experts, so that different domain experts will reliably be able to independently reproduce the process."		PMID: 18388943.Nat Protoc. 2008;3(4):612-8.Protocol for the induction of arthritis in C57BL/6 mice.	http://purl.obolibrary.org/obo/IAO_0000122	protocol|Protocol	PlanAndPlannedProcess Branch		OBI branch derived + wikipedia (http://en.wikipedia.org/wiki/Protocol_%28natural_sciences%29)
210	C	obo:	OBI_0000571	(manufacturer role)	NA	N	no	Not in domain								
211	C	obo:	OBI_0000835	Manufacturer	ORG	R	yes	Study this definition.  VIVO has many like this.	A person or organization that has a manufacturer role			http://purl.obolibrary.org/obo/IAO_0000124				
212	C	obo:	OBI_0001554	Rate Measurement Datum	NA	N	no	Not in domain								
213	C	obo:	OBI_0100026	Organism	NA	N	no	Not in domain	"A material entity that is an individual living system, such as animal, plant, bacteria or virus, that is capable of replicating or reproducing, growth and maintenance in the right environment. An organism may be unicellular or made up, like humans, of many billions of cells divided into specialized tissues and organs."		fungus|animal|virus|plant	http://purl.obolibrary.org/obo/IAO_0000121	organism	GROUP: OBI Biomaterial Branch		WEB: http://en.wikipedia.org/wiki/Organism
214	C	obo:	OBI_0500000	Study Design	OBI	K	yes		A study design is a plan specification comprised of protocols (which may specify how and what kinds of data will be gathered) that are executed as part of an investigation and is realized during a study design execution.				study design			
215	C	obo:	UO_0000280	Rate Unit	NA	N	no	Not in domain								
216	C	ocrer:	Interventional_study		OBI	R	yes	Find in OBI								
217	C	ocresd:	OCRE100038	Phase	OBI	R	yes	Find in OBI	"Phase describes the level of a trial required of drugs before (and after) they are routinely used in clinical practice: \n- Phase I trials assess toxic effects on humans (not many people participate in them, and usually without controls); \n- Phase ll trials assess therapeutic benefit (usually involving a few hundred people, usually with controls, but not always); \n- Phase III trials compare the new treatment against standard (or placebo) treatment (usually a full randomised controlled trial). At this point, a drug can be approved for community use. \n- Phase IV monitors a new treatment in the community, often to evaluate longterm safety and effectiveness. [Glossary of Terms in The Cochrane Collaboration]\n\nA trial can be of a combination phase (e.g., I/II).\nThe concept of phase is not applicable to trials studying certain interventions (e.g., device, procedure, behavioral)"					Simona		
218	C	ocresd:	Phase_0	Phase 0	OBI	R	yes	Find in OBI	"A Phase 0 trial is an exploratory trial involving very limited human exposure, with no therapeutic or diagnostic intent (e.g., screening study, microdose study). [http://prsinfo.clinicaltrials.gov/definitions.html]"							
219	C	ocresd:	Phase_1	Phase 1	OBI	R	yes	Find in OBI	"A Phase I trial assesses toxic effects on humans (not many people participate, and usually without controls) [Glossary of Terms in The Cochrane Collaboration]"							
220	C	ocresd:	Phase_2	Phase 2	OBI	R	yes	Find in OBI	"A Phase ll trial assesses therapeutic benefit (usually involving a few hundred people, usually with controls, but not always) [Glossary of Terms in The Cochrane Collaboration]"							
221	C	ocresd:	Phase_3	Phase 3	OBI	R	yes	Find in OBI	"A Phase III trial compares the new treatment against standard (or placebo) treatment (usually a full\nrandomised controlled trial). At this point, a drug can be approved for community use. [Glossary of Terms in The Cochrane Collaboration]"							
222	C	ocresd:	Phase_4	Phase 4	OBI	R	yes	Find in OBI	"A Phase IV study monitors a new treatment in the community, often to evaluate longterm safety and effectiveness. [Glossary of Terms in The Cochrane Collaboration]"							
223	C	ocresd:	Single_group_study	Single Group Study	OBI	R	yes	Find in OBI	"A single group study is an interventional study that has only a single allocation group and no contemporaneuos comparison group.\nA study in which an individual acts has his/her own comparison does not fall into this category, since an individual is not a group."							
224	C	skos4:	Concept	Concept	SKOS	R	yes	Use SKOS 8								
225	C	vcard:	Acquaintance	Acquaintance	VIVO	M	no	Would be a new use case for VIVO								
226	C	vcard:	Address	Address	VIVO	R	yes	Needs analysis -- its an information content entity								
227	C	vcard:	Addressing	Addressing	NA	N	no	Not in domain								
228	C	vcard:	Agent	Agent	NA	N	no	Not in domain								
229	C	vcard:	Calendar	Calendar	NA	N	no	Not in domain								
230	C	vcard:	CalendarBusy	Calendar Busy	NA	N	no	Not in domain								
231	C	vcard:	CalendarLink	Calendar Link	NA	N	no	Not in domain								
232	C	vcard:	CalendarRequest	Calendar Request	NA	N	no	Not in domain								
233	C	vcard:	Category	Category	NA	N	no	Not in domain								
234	C	vcard:	Cell	Cell	VIVO	R	yes	VIVO will need a way to record phone numbers and to distinguish types								
235	C	vcard:	Child	Child	NA	N	no	Not in domain								
236	C	vcard:	Code	Code	NA	N	no	Not in domain								
237	C	vcard:	Colleague	Colleague	NA	N	no	Not in domain								
238	C	vcard:	Communication	Communication	NA	N	no	Not in domain								
239	C	vcard:	Contact	Contact	NA	N	no	Not in domain								
240	C	vcard:	Coresident	Coresident	NA	N	no	Not in domain								
241	C	vcard:	Coworker	Coworker	NA	N	no	Not in domain								
242	C	vcard:	Crush	Crush	NA	N	no	Not in domain								
243	C	vcard:	Date	Date	NA	N	no	Not in domain								
244	C	vcard:	Email	Email	IAO	R	yes	See IAO								
245	C	vcard:	Emergency	Emergency	NA	N	no	Not in domain								
246	C	vcard:	Explanatory	Explanatory	NA	N	no	Not in domain								
247	C	vcard:	Fax	Fax	VIVO	R	yes	VIVO will need a way to record phone numbers and to distinguish types								
248	C	vcard:	Female	Female	NA	N	no	Not in domain								
249	C	vcard:	FormattedName	Formatted Name	NA	N	no	Not in domain								
250	C	vcard:	Friend	Friend	NA	N	no	Not in domain								
251	C	vcard:	Gender	Gender	NA	N	no	Not in domain								
252	C	vcard:	Geo	Geo	GAZ	R	yes	Use GAZ								
253	C	vcard:	Geographical	Geographical	GAZ	R	yes	Use GAZ								
254	C	vcard:	Group	Group	NA	N	no	Not in domain								
255	C	vcard:	Home	Home	NA	N	no	Not in domain								
256	C	vcard:	Identification	Identification	VIVO	R	yes	See Early Thoughts on Identifiers								
257	C	vcard:	Individual	Individual	NA	N	no	Not in domain								
258	C	vcard:	InstantMessage	Messaging	NA	N	no	Not in domain								
259	C	vcard:	Key	Key	NA	N	no	Not in domain								
260	C	vcard:	Kin	Kin	NA	N	no	Not in domain								
261	C	vcard:	Kind	VCard Kind	NA	N	no	Not in domain								
262	C	vcard:	Language	Language	VIVO	R	yes	VIVO may need a LANG ontology to codify ISO and the Euro competency levels								
263	C	vcard:	Location	Location	GAZ	R	yes	Use GAZ								
264	C	vcard:	Logo	Logo	VIVO	R	yes	This idea should be added to VIVO								
265	C	vcard:	Male	Male	NA	N	no	Not in domain								
266	C	vcard:	Me	Me	NA	N	no	Not in domain								
267	C	vcard:	Met	Met	NA	N	no	Not in domain								
268	C	vcard:	Muse	Muse	NA	N	no	Not in domain								
269	C	vcard:	Name	Name	VIVO	R	yes	VIVO will have name parts								
270	C	vcard:	Neighbor	Neighbor	NA	N	no	Not in domain								
271	C	vcard:	Nickname	Nickname	VIVO	R	yes	VIVO will have name concepts								
272	C	vcard:	None	None	NA	N	no	Not in domain								
273	C	vcard:	Note	Note	NA	N	no	Not in domain								
274	C	vcard:	Organization	Organization	ORG	R	yes	 								
275	C	vcard:	Organizational	Organizational	ORG	R	yes	 								
276	C	vcard:	OrganizationName	Organization Name	ORG	R	yes	 								
277	C	vcard:	OrganizationUnitName	Organizational Unit Name	ORG	R	yes	 								
278	C	vcard:	Other	Other	NA	N	no	Not in domain								
279	C	vcard:	Pager	Pager	NA	N	no	VIVO will have a way to represent phone numbers								
280	C	vcard:	Parent	Parent	NA	N	no	Not in domain								
281	C	vcard:	Photo	Photo	VIVO	R	yes	VIVO will have a way to represent images								
282	C	vcard:	Related	Related	NA	N	no	Not in domain								
283	C	vcard:	RelatedType	Relation Type	NA	N	no	Not in domain								
284	C	vcard:	Role	(Role)	NA	N	no	Not in domain								
285	C	vcard:	Security	Security	NA	N	no	Not in domain								
286	C	vcard:	Sibling	Sibling	NA	N	no	Not in domain								
287	C	vcard:	Sound	Sound	NA	N	no	Not in domain								
288	C	vcard:	Spouse	Spouse	NA	N	no	Not in domain								
289	C	vcard:	Sweetheart	Sweetheart	NA	N	no	Not in domain								
290	C	vcard:	Telephone	Telephone	VIVO	R	yes	VIVO will have a way to represent phone numbers								
291	C	vcard:	TelephoneType	Telephone Type	NA	N	no	Not in domain								
292	C	vcard:	Text	Text	NA	N	no	Not in domain								
293	C	vcard:	TextPhone	Text Phone	NA	N	no	Not in domain								
294	C	vcard:	TimeZone	Time Zone	TIME	R	yes	VIVO will have a way to represent time								
295	C	vcard:	Title	Title	VIVO	R	yes	VIVO will have a way to represent titles								
296	C	vcard:	Type	Type	NA	N	no	Not in domain								
297	C	vcard:	Unknown	Unknown	NA	N	no	Not in domain								
298	C	vcard:	URL	URL	VIVO	R	yes	VIVO will have a way to represent items on the web and their URLs								
299	C	vcard:	Video	Video	NA	N	no	Not in domain								
300	C	vcard:	Voice	Voice	NA	N	no	Not in domain								
301	C	vcard:	Work	Work	NA	N	no	Not in domain								
302	C	vivo:	Abstract	Abstract	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An abstract that is published as a standalone document or in a journal of abstracts							
303	C	vivo:	AcademicDegree	Academic Degree	ADO	R	yes	 	"An academic degree at any level, both as reported by individuals for employment and as offered by academic degree programs."		This list may have multiple abbreviations for some degrees.|B.A. Bachelor of Arts					
304	C	vivo:	AcademicDepartment	Academic Department	ORG	R	yes		"A distinct, usually specialized educational unit within an educational organization."		Endodontics (department within a College of Dentistry); English (department within a College of Liberal Arts)					
305	C	vivo:	AcademicTerm	Academic Term	TIME	R	yes	Can be represented as a time construct	"An explicit individual academic term, quarter, or semester rather than the generic fall, spring or summer semester."							
306	C	vivo:	AcademicYear	Academic Year	TIME	R	yes	Can be represented as a time construct	An explicit individual period considered by an academic institution to be its primary academic cycle.							
307	C	vivo:	AdministratorRole	Administrator Role	VIVO	R	yes	See Early Thoughts on Roles and Relationships								
308	C	vivo:	AdviseeRole	Advisee Role	VIVO	R	yes	See Early Thoughts on Roles and Relationships								
309	C	vivo:	AdvisingProcess	Advising Process	VIVO	R	yes	See Early Thoughts on Roles and Relationships								
310	C	vivo:	AdvisingRelationship	Advising Relationship	VIVO	R	yes	See Early Thoughts on Roles and Relationships	"A dual relationship of one person being advised or mentored by another person, typically including start and end dates"							
311	C	vivo:	AdvisorRole	Advisor Role	VIVO	R	yes	See Early Thoughts on Roles and Relationships								
312	C	vivo:	Association	Association	ORG	R	yes		A group of persons or organizations organized for a common purpose.|A formal organization of people or groups of people around a subject or practice.		Special Libraries Association; Association for Computing Machinery(ACM); American Medical Informatics Association(AMIA)					
313	C	vivo:	AttendeeRole	Attendee Role	VIVO	R	yes	See Early Thoughts on Roles and Relationships	A role of attending an Event or EventSeries							
314	C	vivo:	AttendingProcess	Attending Process	VIVO	R	yes	See Early Thoughts on Roles and Relationships								
